Date;Trips
2016-11-24;18
2016-11-25;44
2016-11-26;48
2016-11-27;40
2016-11-28;80
2016-11-29;76
2016-11-30;84
2016-12-01;94
2016-12-02;93
2016-12-03;72
2016-12-04;56
2016-12-05;68
2016-12-06;86
2016-12-07;81
2016-12-08;78
2016-12-09;89
2016-12-10;68
2016-12-11;57
2016-12-12;56
2016-12-13;88
2016-12-14;95
2016-12-15;88
2016-12-16;93
2016-12-17;53
2016-12-18;47
2016-12-19;69
2016-12-20;72
2016-12-21;81
2016-12-22;83
2016-12-23;63
2016-12-24;29
2016-12-25;11
2016-12-26;28
2016-12-27;58
2016-12-28;48
2016-12-29;52
2016-12-30;67
2016-12-31;47
2017-01-01;37
2017-01-02;24
2017-01-03;44
2017-01-04;65
2017-01-05;71
2017-01-06;77
2017-01-07;52
2017-01-08;37
2017-01-09;67
2017-01-10;49
2017-01-11;73
2017-01-12;71
2017-01-13;70
2017-01-14;62
2017-01-15;33
2017-01-16;38
2017-01-17;59
2017-01-18;73
2017-01-19;55
2017-01-20;71
2017-01-21;51
2017-01-22;33
2017-01-23;50
2017-01-24;57
2017-01-25;49
2017-01-26;67
2017-01-27;69
2017-01-28;44
2017-01-29;31
2017-01-30;50
2017-01-31;51
2017-02-01;74
2017-02-02;69
2017-02-03;54
2017-02-04;48
2017-02-05;39
2017-02-06;49
2017-02-07;77
2017-02-08;64
2017-02-09;69
2017-02-10;70
2017-02-11;47
2017-02-12;28
2017-02-13;52
2017-02-14;48
2017-02-15;77
2017-02-16;70
2017-02-17;69
2017-02-18;51
2017-02-19;60
2017-02-20;34
2017-02-21;51
2017-02-22;73
2017-02-23;90
2017-02-24;87
2017-02-25;78
2017-02-26;54
2017-02-27;46
2017-02-28;61
2017-03-01;65
2017-03-02;55
2017-03-03;76
2017-03-04;48
2017-03-05;35
2017-03-06;36
2017-03-07;39
2017-03-08;62
2017-03-09;71
2017-03-10;80
2017-03-11;85
2017-03-12;33
2017-03-13;51
2017-03-14;60
2017-03-15;66
2017-03-16;85
2017-03-17;97
2017-03-18;60
2017-03-19;52
2017-03-20;65
2017-03-21;80
2017-03-22;62
2017-03-23;62
2017-03-24;71
2017-03-25;39
2017-03-26;42
2017-03-27;54
2017-03-28;53
2017-03-29;59
2017-03-30;87
2017-03-31;76
