Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
5;5942;St. Ingbert;Bahnsteig Gl. 2/3;10354589;Personenaufzug Gl. 2/3_46101-002;66386;St. Ingbert;HA 0020;OTIS GmbH & Co. OHG;2007;Personenaufzüge;SEIL;2;2;2;10000;37300;;13000000;;;;;;zu Gleis 2/3;;;;7,110397291;49,27456564;;
2;4789;Osterburg;Bahnsteig 01 (Hausbahnsteig);10441867;Personenaufzug Bstg 1;39606;Osterburg;AUFZUG AM BAHNSTEIG 1;ThyssenKrupp Aufzüge GmbH;2010;Personenaufzüge;SEIL;2;1;2;;60000;;;;;;;;zu Gleis 1;;;;11,7601169;52,7877298;;
3;3620;Lehrte;Bahnsteig Gleis 13/14;10095710;Personenaufzug Nr.21279 Tepper;31275;Lehrte;GLEIS 14;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2;1;2;3900;54500;;11000000;;10000000;21000000;11000000;22000000;zu Gleis 13/14;21000000;21279;ZS2;9,974579956;52,37675699;;
4;85;Altenbeken;Querbahnsteig;10265460;Personenaufzug Gl. 21;33184;Altenbeken;;Thyssen Krupp;2003;Personenaufzüge;SEIL;2;2;4;10000;46200;BAHNSTEIG;10000000;"AUSG. ; GL 1/21";10000000;21000000;11000000;23000000;zu Gleis 1/21;21000000;215163005;ZS2;8,9433893;51,7664023;;
7;1259;Dombühl;Bahnsteig 01;10529001;Aufzug Hausbahnsteig Gl. 1;91601;Dombühl;HAUSBAHNSTEIG GL 1;Schindler;2017;Personenaufzüge;SEIL;2;2;2;;;;10000000;;10000000;21000000;11000000;22000000;zu Gleis 1;21000000;11014942;ZS2;10,2981958;49,2521400;;
1;7721;Berlin-Tegel;Unterführung als Bahnsteigzugang 2x;10121623;AZ Ausg Ost (Buddestr)/F-Nr: 47T0048-0-4;13507;Berlin;;OTIS GmbH & Co. OHG;1998;Personenaufzüge;HYDRAULISCH;2;2;2;6000;32600;AUßEN;14250000;"FUßGÄNGERTUNNEL;AUSGANG";10000000;23300000;12200000;23000000;von EG zu Tunnel;21000000;47T0048-0-4;ZS2;13,2895745;52,5887389;;
2;3751;Löbau (Sachs);Bahnsteig 2/3;10499642;Personenaufzug Bstg 2/3;2708;Löbau;;;2015;Personenaufzüge;SEIL;2;1;2;;;;;;;;;;zu Gleis 2/3;;;;14,6713245;51,0995518;;
7;2873;Höllriegelskreuth;Außenbahnsteig Gl. 1;10543164;HA0091 Personenaufzug Außen-Bstg Gl 1;82049;Pullach;AUßENBAHNSTEIG GL 1;Schindler GmbH;2018;Personenaufzüge;SEIL;2;2;2;;;;10500000;AUßENBAHNSTEIG, GLEIS 1;10000000;21000000;21000000;22000000;Außenbahnsteig Gleis 1;;11056199;ES2;11.50994;48.04351;;
1;527;Berlin-Friedrichstraße;UPVA Bstg. D Gleis 11/12;10507412;AZ Gl. 11-12 D / Fabrik-Nr: 10823264;10117;Berlin;;Fa. Schindler;2015;Personenaufzüge;SEIL;2;4;6;10000;59050;AUßEN;10500000;"BSTG D GL.11/12;AUSGANG EG";10000000;21000000;11000000;21000000;zu Gleis 11/12 (S-Bahn);21000000;10823264;ZS2;13,3861932;52,5203623;;
5;5923;Speyer Hbf;Bahnsteig 1;10273080;Aufzug Bstg.1 Nr.231322123       HA 0077;67346;Speyer;PERSONENAUFZUG;Thyssen Krupp;2003;Personenaufzüge;SEIL;2;2;2;10000;43400;BSTG ZUR PERSONENUNTERFÜHRUNG;10500000;;;;;;zu Gleis 1;;;;8,4281813;49,3243061;;
2;2721;Hermsdorf-Klosterlausnitz;Bahnhofsvorplatz;10545773;Personenaufzug Vorplatz  (244401015);7629;Hermsdorf-Klosterlausnitz;;Schindler Aufzug u. F. GmbH;2019;Personenaufzüge;SEIL;2;1;;10000;42600;AUßEN;10000000;;;;;;Aufzug Vorplatz;;;;11,85814442;50,90350401;;
1;3805;Lübbenau (Spreewald);Bahnsteig 2/3;10467808;AZ Bstg. 2/3 HA-Nr 204;3222;Lübbenau;BAHNSTEIG 2/3;Thyssen Krupp;2012;Personenaufzüge;SEIL;2;1;2;10000;60000;TUNNEL > BSTG. 2/3;10000000;"GL2/3;TUNNEL";10000000;21000000;11000000;20500000;zu Gleis 2/3;20000000;286111073;ZS2;13,96155084;51,86182394;;
4;2457;Hagen Hbf;Bahnsteig 01, Gl 1/2;10282808;Personenaufzug;58089;Hagen;HAGEN BSTG01 GL.1/2;Haushahn GmbH & Co. KG;1998;Personenaufzüge;HYDRAULISCH;2;2;2;5200;43000;;8750000;;;;;;zu Gleis 1/2;;;;7,4610392;51,3627315;;
5;1612;Eppelborn;Zuwegung PU u Aufzug (Vorplatz);10692935;Aufzug Vorplatz/Zugang PU;66571;Eppelborn;GEWÄHRLEISTUNG BIS 10-2023;Schindler Aufzüge und Fahrtrep;2019;Personenaufzüge;SEIL;2;2;2;10000;42700;VORPLATZ, ZUGANG PU;10500000;;;;;22000000;Vorplatz zur PU;21000000;11176379;ZS2;6.967732;49.408738;;
1;7730;Lichterfelde Süd;Unterführung als Bahnsteigszugang / Nord;10455449;AZ PU Nord / Fabrik-Nr: 284010097;12207;Berlin;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2;2;2;10000;60300;AUßEN;10500000;"AUSGANG;FUßGÄNGERTUNNEL";10000000;21000000;11000000;22000000;von EG zu Tunnel;21000000;284010098;ZS2;13,3087097;52,4109699;;
5;3524;Langen (Hess);Bahnsteig 2, Gleis 2/3;10488505;Aufzug HA 258;63225;Langen;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2;;;;;;;;;;;;zu Gleis 2/3;;;;8,6565711;49,9936773;;
2;3881;Magdeburg Hbf;Bahnsteig 05;10567728;Personenaufzug Bstg 5;39104;Magdeburg;;;2019;Personenaufzüge;HYDRAULISCH;2;2;2;10000;42100;;10500000;;;;;;zu Gleis 5;21000000;11201506;;11,6270645;52,1306165;;
